VI	BI[0]	BI[1]	BI[2]	BI[3]	BW[0]	BW[1]	BW[2]	BW[3]
0	2	0	0	0	1	0	0	0
1	2	0	0	0	1	0	0	0
2	2	0	0	0	1	0	0	0
3	2	0	0	0	1	0	0	0
4	0	1	0	0	0.75	0.25	0	0
5	0	1	0	0	0.5	0.5	0	0
6	0	1	0	0	0.5	0.5	0	0
7	0	1	0	0	0.75	0.25	0	0
8	2	3	4	0	0.1	0.45	0.45	0
9	2	3	4	0	0.1	0.45	0.45	0
10	4	6	0	0	0.75	0.25	0	0
11	4	5	0	0	0.25	0.75	0	0
12	5	7	0	0	0.75	0.25	0	0
13	5	7	0	0	0.75	0.25	0	0
14	4	5	0	0	0.25	0.75	0	0
15	3	4	0	0	0.2	0.8	0	0
16	2	3	4	0	0.1	0.45	0.45	0
17	4	0	0	0	1	0	0	0
18	2	0	0	0	1	0	0	0
19	2	8	0	0	0.9	0.1	0	0
20	2	8	0	0	0.9	0.1	0	0
21	2	0	0	0	1	0	0	0
22	20	0	0	0	1	0	0	0
23	20	24	0	0	0.25	0.75	0	0
24	20	24	0	0	0.25	0.75	0	0
25	20	0	0	0	1	0	0	0
26	0	1	0	0	0.25	0.75	0	0
27	0	1	0	0	0.5	0.5	0	0
28	0	1	0	0	0.5	0.5	0	0
29	0	1	0	0	0.25	0.75	0	0
30	18	0	0	0	1	0	0	0
31	12	18	23	0	0.675	0.225	0.1	0
32	12	18	0	0	0.75	0.25	0	0
33	18	0	0	0	1	0	0	0
34	0	1	0	0	0.25	0.75	0	0
35	0	1	0	0	0.5	0.5	0	0
36	0	1	0	0	0.5	0.5	0	0
37	0	1	0	0	0.25	0.75	0	0
38	20	0	0	0	1	0	0	0
39	20	24	0	0	0.25	0.75	0	0
40	20	24	0	0	0.25	0.75	0	0
41	20	0	0	0	1	0	0	0
42	2	0	0	0	1	0	0	0
43	2	0	0	0	1	0	0	0
44	2	0	0	0	1	0	0	0
45	2	0	0	0	1	0	0	0
46	2	8	0	0	0.1	0.9	0	0
47	2	8	0	0	0.1	0.9	0	0
48	2	8	0	0	0.5	0.5	0	0
49	2	8	0	0	0.5	0.5	0	0
50	2	3	4	0	0.1	0.45	0.45	0
51	2	3	4	0	0.1	0.45	0.45	0
52	4	0	0	0	1	0	0	0
53	0	1	0	0	0.75	0.25	0	0
54	0	1	0	0	0.5	0.5	0	0
55	0	1	0	0	0.5	0.5	0	0
56	0	1	0	0	0.75	0.25	0	0
57	4	6	0	0	0.75	0.25	0	0
58	4	6	0	0	0.75	0.25	0	0
59	1	4	6	0	0.1875	0.25	0.5625	0
60	1	4	6	0	0.1875	0.25	0.5625	0
61	2	0	0	0	1	0	0	0
62	2	0	0	0	1	0	0	0
63	2	0	0	0	1	0	0	0
64	2	0	0	0	1	0	0	0
65	3	4	0	0	0.25	0.75	0	0
66	2	3	4	0	0.1	0.45	0.45	0
67	2	3	4	0	0.1	0.45	0.45	0
68	3	4	5	0	0.25	0.5625	0.1875	0
69	4	6	0	0	0.75	0.25	0	0
70	4	6	0	0	0.75	0.25	0	0
71	1	4	6	0	0.1875	0.25	0.5625	0
